Tahun,Bulan,Tanaman,Produksi,Luas_Lahan,Prediksi
2022,2,Minyak Sawit,1737.08,9125.1,2003.252147338713
2022,3,Minyak Sawit,1947.5,9125.1,2097.8284103462806
2022,4,Minyak Sawit,2348.42,9125.1,2069.497903738436
2022,5,Minyak Sawit,2232.54,9125.1,2154.9185124629116
2022,6,Minyak Sawit,2390.7,9125.1,2277.089733896176
2022,7,Minyak Sawit,2529.91,9125.1,2417.896901636089
2022,8,Minyak Sawit,2808.6,9125.1,2495.9080359286877
2022,9,Minyak Sawit,2819.51,9125.1,2728.2037483538775
2022,10,Minyak Sawit,3328.55,9125.1,2740.546097921184
2022,11,Minyak Sawit,3335.97,9125.1,2767.507255042443
2022,12,Minyak Sawit,3248.59,9125.1,2800.085847499918
2022,1,Teh,7.51,51.0,8.06089555192865
2022,2,Teh,6.41,51.0,7.203936539515869
2022,3,Teh,5.89,51.0,7.678341770194229
2022,4,Teh,5.99,51.0,7.772387104584289
2022,5,Teh,6.23,51.0,7.6717432811203645
2022,6,Teh,6.65,51.0,7.629724654066205
2022,7,Teh,5.53,51.0,7.531674603977396
2022,8,Teh,6.07,51.0,6.854973917209733
2022,9,Teh,6.35,51.0,6.766009495267903
2022,10,Teh,6.06,51.0,7.23161494619233
2022,11,Teh,6.28,51.0,7.240120255545727
2022,12,Teh,5.8,51.0,7.697345775655038
2023,1,Gula Tebu,2.11,201.1,1.0280467345236501
2023,2,Gula Tebu,9.69,201.1,8.24555789021124
2023,3,Gula Tebu,23.88,201.1,15.734958169854915
2023,4,Gula Tebu,46.88,201.1,48.664954403186485
2023,5,Gula Tebu,109.39,201.1,58.219943082582624
2023,6,Gula Tebu,171.15,201.1,108.31162154105816
2023,7,Gula Tebu,159.55,201.1,167.59255642479326
2023,8,Gula Tebu,153.72,201.1,157.83610037419226
2023,9,Gula Tebu,113.71,201.1,141.06037271313576
2023,10,Gula Tebu,32.32,201.1,93.0147728668237
2023,11,Gula Tebu,5.97,201.1,12.591832739188497
2023,12,Gula Tebu,0.0,201.1,6.5017327795561775
2023,1,Karet Kering,18.39,302.6,20.46421979283913
2023,2,Karet Kering,16.32,302.6,19.96916507290618
