Tahun,Tanaman,Bulan,Produksi,Suhu_Rata2_Nasional,Rata_Rata_Curah_Hujan_Nasional
2013,Karet Kering,2,52.15,26.648498246623323,15.715151412546154
2013,Minyak Sawit,2,1311.11,26.648498246623323,15.715151412546154
2013,Kopi,2,0.09,26.648498246623323,15.715151412546154
2013,Teh,2,6.54,26.648498246623323,15.715151412546154
2013,Gula Tebu,2,0.0,26.648498246623323,15.715151412546154
2013,Karet Kering,3,51.24,26.99649946839231,13.779192992489332
2013,Minyak Sawit,3,1485.47,26.99649946839231,13.779192992489332
2013,Kopi,3,0.2,26.99649946839231,13.779192992489332
2013,Teh,3,6.31,26.99649946839231,13.779192992489332
2013,Gula Tebu,3,0.0,26.99649946839231,13.779192992489332
2013,Karet Kering,4,47.67,26.96882856778629,14.95970241279934
2013,Minyak Sawit,4,1593.52,26.96882856778629,14.95970241279934
2013,Kopi,4,0.78,26.96882856778629,14.95970241279934
2013,Teh,4,8.93,26.96882856778629,14.95970241279934
2013,Gula Tebu,4,44.15,26.96882856778629,14.95970241279934
2013,Karet Kering,5,51.0,26.897609888519703,13.269045639701194
2013,Minyak Sawit,5,1560.58,26.897609888519703,13.269045639701194
2013,Kopi,5,3.12,26.897609888519703,13.269045639701194
2013,Teh,5,8.93,26.897609888519703,13.269045639701194
2013,Gula Tebu,5,58.87,26.897609888519703,13.269045639701194
2013,Karet Kering,6,47.04,27.029637653010774,12.515372242483188
2013,Minyak Sawit,6,1630.9,27.029637653010774,12.515372242483188
2013,Kopi,6,2.77,27.029637653010774,12.515372242483188
2013,Teh,6,8.47,27.029637653010774,12.515372242483188
2013,Gula Tebu,6,94.2,27.029637653010774,12.515372242483188
2013,Karet Kering,7,54.1,26.3558997098365,14.102165739246091
2013,Minyak Sawit,7,1370.56,26.3558997098365,14.102165739246091
2013,Kopi,7,4.93,26.3558997098365,14.102165739246091
2013,Teh,7,9.09,26.3558997098365,14.102165739246091
2013,Gula Tebu,7,588.72,26.3558997098365,14.102165739246091
2013,Karet Kering,8,54.16,26.53040929929277,12.350487354229664
2013,Minyak Sawit,8,1366.1,26.53040929929277,12.350487354229664
2013,Kopi,8,5.15,26.53040929929277,12.350487354229664
2013,Teh,8,8.13,26.53040929929277,12.350487354229664
2013,Gula Tebu,8,559.28,26.53040929929277,12.350487354229664
2013,Karet Kering,9,54.23,26.669126324473,12.893663911979822
2013,Minyak Sawit,9,1361.63,26.669126324473,12.893663911979822
2013,Kopi,9,4.12,26.669126324473,12.893663911979822
2013,Teh,9,8.1,26.669126324473,12.893663911979822
2013,Gula Tebu,9,500.41,26.669126324473,12.893663911979822
2013,Karet Kering,10,60.25,26.848033203631037,11.671500785509044
2013,Minyak Sawit,10,1375.0,26.848033203631037,11.671500785509044
2013,Kopi,10,3.83,26.848033203631037,11.671500785509044
2013,Teh,10,8.07,26.848033203631037,11.671500785509044
2013,Gula Tebu,10,396.36,26.848033203631037,11.671500785509044
2013,Karet Kering,11,62.97,26.551211501169995,13.77134331079501
2013,Minyak Sawit,11,1379.46,26.551211501169995,13.77134331079501
2013,Kopi,11,2.36,26.551211501169995,13.77134331079501
2013,Teh,11,8.04,26.551211501169995,13.77134331079501
2013,Gula Tebu,11,236.87,26.551211501169995,13.77134331079501
2013,Karet Kering,12,75.57,26.584695826911517,16.10625206136308
2013,Minyak Sawit,12,1383.93,26.584695826911517,16.10625206136308
2013,Kopi,12,2.36,26.584695826911517,16.10625206136308
2013,Teh,12,8.0,26.584695826911517,16.10625206136308
2013,Gula Tebu,12,75.89,26.584695826911517,16.10625206136308
2014,Karet Kering,1,52.7,26.620386318670565,15.292044640510529
2014,Minyak Sawit,1,1455.57,26.620386318670565,15.292044640510529
2014,Kopi,1,-,26.620386318670565,15.292044640510529
2014,Teh,1,8.69,26.620386318670565,15.292044640510529
2014,Gula Tebu,1,1.03,26.620386318670565,15.292044640510529
2014,Karet Kering,2,51.3,26.74268943794932,15.346666128754867
2014,Minyak Sawit,2,1375.33,26.74268943794932,15.346666128754867
2014,Kopi,2,-,26.74268943794932,15.346666128754867
2014,Teh,2,7.86,26.74268943794932,15.346666128754867
2014,Gula Tebu,2,3.95,26.74268943794932,15.346666128754867
2014,Karet Kering,3,49.9,27.12095280933004,12.863805747200924
2014,Minyak Sawit,3,1506.96,27.12095280933004,12.863805747200924
2014,Kopi,3,-,27.12095280933004,12.863805747200924
2014,Teh,3,9.36,27.12095280933004,12.863805747200924
2014,Gula Tebu,3,4.01,27.12095280933004,12.863805747200924
2014,Karet Kering,4,46.3,27.26753630921972,13.55678065772931
2014,Minyak Sawit,4,1609.76,27.26753630921972,13.55678065772931
2014,Kopi,4,-,27.26753630921972,13.55678065772931
2014,Teh,4,9.29,27.26753630921972,13.55678065772931
2014,Gula Tebu,4,50.88,27.26753630921972,13.55678065772931
2014,Karet Kering,5,51.3,27.22419389590113,11.54119961246803
2014,Minyak Sawit,5,1635.14,27.22419389590113,11.54119961246803
2014,Kopi,5,-,27.22419389590113,11.54119961246803
2014,Teh,5,9.56,27.22419389590113,11.54119961246803
2014,Gula Tebu,5,147.48,27.22419389590113,11.54119961246803
2014,Karet Kering,6,51.1,27.130122797531488,11.921359575286578
2014,Minyak Sawit,6,1653.7,27.130122797531488,11.921359575286578
2014,Kopi,6,-,27.130122797531488,11.921359575286578
2014,Teh,6,8.63,27.130122797531488,11.921359575286578
2014,Gula Tebu,6,188.33,27.130122797531488,11.921359575286578
2014,Karet Kering,7,52.1,26.961275884348822,10.581967883530504
2014,Minyak Sawit,7,1537.23,26.961275884348822,10.581967883530504
2014,Kopi,7,-,26.961275884348822,10.581967883530504
2014,Teh,7,8.22,26.961275884348822,10.581967883530504
2014,Gula Tebu,7,214.26,26.961275884348822,10.581967883530504
2014,Karet Kering,8,46,26.657695588084643,11.540603873840706
