Tahun,Bulan,Tanaman,Prediksi,Suhu_Nasional_Rata2_Tahunan,Total_RR_Nasional_Tahunan,Luas_Lahan,lag1,lag3,Skenario
2025,1,Gula Tebu,3.6519530514670464,30.532150942379232,1108956.366666667,204.4,11.11,71.99,Normal
2025,2,Gula Tebu,6.897003171248926,30.532150942379232,1108956.366666667,204.4,3.6519530514670464,30.43,Normal
2025,3,Gula Tebu,22.962307087856573,30.532150942379232,1108956.366666667,204.4,6.897003171248926,11.11,Normal
2025,4,Gula Tebu,67.37252823313257,30.532150942379232,1108956.366666667,204.4,22.962307087856573,3.6519530514670464,Normal
2025,5,Gula Tebu,85.29170702075666,30.532150942379232,1108956.366666667,204.4,67.37252823313257,6.897003171248926,Normal
2025,6,Gula Tebu,149.70199787373357,30.532150942379232,1108956.366666667,204.4,85.29170702075666,22.962307087856573,Normal
2025,7,Gula Tebu,146.36239403774573,30.532150942379232,1108956.366666667,204.4,149.70199787373357,67.37252823313257,Normal
2025,8,Gula Tebu,150.66756854444583,30.532150942379232,1108956.366666667,204.4,146.36239403774573,85.29170702075666,Normal
2025,9,Gula Tebu,118.43055084284178,30.532150942379232,1108956.366666667,204.4,150.66756854444583,149.70199787373357,Normal
2025,10,Gula Tebu,71.9907800578425,30.532150942379232,1108956.366666667,204.4,118.43055084284178,146.36239403774573,Normal
2025,11,Gula Tebu,30.430837287617507,30.532150942379232,1108956.366666667,204.4,71.9907800578425,150.66756854444583,Normal
2025,12,Gula Tebu,11.107787305472172,30.532150942379232,1108956.366666667,204.4,30.430837287617507,118.43055084284178,Normal
2026,1,Gula Tebu,3.6520458643854994,30.532150942379236,1108956.366666667,204.4,11.107787305472172,71.9907800578425,Normal
2026,2,Gula Tebu,6.8988385784933115,30.532150942379236,1108956.366666667,204.4,3.6520458643854994,30.430837287617507,Normal
2026,3,Gula Tebu,22.958991481313504,30.532150942379236,1108956.366666667,204.4,6.8988385784933115,11.107787305472172,Normal
2026,4,Gula Tebu,67.37180115156855,30.532150942379236,1108956.366666667,204.4,22.958991481313504,3.6520458643854994,Normal
2026,5,Gula Tebu,85.29416769207708,30.532150942379236,1108956.366666667,204.4,67.37180115156855,6.8988385784933115,Normal
2026,6,Gula Tebu,149.70490232706655,30.532150942379236,1108956.366666667,204.4,85.29416769207708,22.958991481313504,Normal
2026,7,Gula Tebu,146.36527714662324,30.532150942379236,1108956.366666667,204.4,149.70490232706655,67.37180115156855,Normal
2026,8,Gula Tebu,150.66222967271904,30.532150942379236,1108956.366666667,204.4,146.36527714662324,85.29416769207708,Normal
2026,9,Gula Tebu,118.42958668553703,30.532150942379236,1108956.366666667,204.4,150.66222967271904,149.70490232706655,Normal
2026,10,Gula Tebu,71.86483445553127,30.532150942379236,1108956.366666667,204.4,118.42958668553703,146.36527714662324,Normal
2026,11,Gula Tebu,29.903966848976268,30.532150942379236,1108956.366666667,204.4,71.86483445553127,150.66222967271904,Normal
2026,12,Gula Tebu,11.07977660969965,30.532150942379236,1108956.366666667,204.4,29.903966848976268,118.42958668553703,Normal
2027,1,Gula Tebu,3.6015665204940177,30.532150942379236,1108956.366666667,204.4,11.07977660969965,71.86483445553127,Normal
2027,2,Gula Tebu,7.480529628101806,30.532150942379236,1108956.366666667,204.4,3.6015665204940177,29.903966848976268,Normal
2027,3,Gula Tebu,23.029175546471578,30.532150942379236,1108956.366666667,204.4,7.480529628101806,11.07977660969965,Normal
2027,4,Gula Tebu,67.40418431629425,30.532150942379236,1108956.366666667,204.4,23.029175546471578,3.6015665204940177,Normal
2027,5,Gula Tebu,85.26873331006635,30.532150942379236,1108956.366666667,204.4,67.40418431629425,7.480529628101806,Normal
2027,6,Gula Tebu,149.741341215058,30.532150942379236,1108956.366666667,204.4,85.26873331006635,23.029175546471578,Normal
2027,7,Gula Tebu,146.36546775954147,30.532150942379236,1108956.366666667,204.4,149.741341215058,67.40418431629425,Normal
2027,8,Gula Tebu,150.63208456746617,30.532150942379236,1108956.366666667,204.4,146.36546775954147,85.26873331006635,Normal
2027,9,Gula Tebu,118.43519469748719,30.532150942379236,1108956.366666667,204.4,150.63208456746617,149.741341215058,Normal
2027,10,Gula Tebu,76.02485551621125,30.532150942379236,1108956.366666667,204.4,118.43519469748719,146.36546775954147,Normal
2027,11,Gula Tebu,37.24408984593131,30.532150942379236,1108956.366666667,204.4,76.02485551621125,150.63208456746617,Normal
2027,12,Gula Tebu,15.85448450647256,30.532150942379236,1108956.366666667,204.4,37.24408984593131,118.43519469748719,Normal
2025,1,Karet Kering,15.896152487382636,30.532150942379232,1108956.366666667,299.40000000000003,15.67,14.89,Normal
2025,2,Karet Kering,14.688305582715614,30.532150942379232,1108956.366666667,299.40000000000003,15.896152487382636,14.69,Normal
2025,3,Karet Kering,14.515338989340641,30.532150942379232,1108956.366666667,299.40000000000003,14.688305582715614,15.67,Normal
2025,4,Karet Kering,13.838302441132754,30.532150942379232,1108956.366666667,299.40000000000003,14.515338989340641,15.896152487382636,Normal
2025,5,Karet Kering,14.121991744281907,30.532150942379232,1108956.366666667,299.40000000000003,13.838302441132754,14.688305582715614,Normal
2025,6,Karet Kering,16.39483217708938,30.532150942379232,1108956.366666667,299.40000000000003,14.121991744281907,14.515338989340641,Normal
2025,7,Karet Kering,15.95332607548729,30.532150942379232,1108956.366666667,299.40000000000003,16.39483217708938,13.838302441132754,Normal
2025,8,Karet Kering,14.79633331219718,30.532150942379232,1108956.366666667,299.40000000000003,15.95332607548729,14.121991744281907,Normal
